Real-Time Object Detection Summary

Object: person, Confidence: 0.27, Color: Black, Position: Bottom-Right, Width: 117, Height: 50
Object: person, Confidence: 0.85, Color: White, Position: Bottom-Center, Width: 427, Height: 295
Object: person, Confidence: 0.29, Color: Black, Position: Bottom-Right, Width: 115, Height: 50
Object: person, Confidence: 0.65, Color: White, Position: Bottom-Center, Width: 409, Height: 285
Object: person, Confidence: 0.32, Color: Black, Position: Bottom-Right, Width: 116, Height: 49
Object: person, Confidence: 0.86, Color: White, Position: Bottom-Center, Width: 421, Height: 294
Object: person, Confidence: 0.31, Color: Black, Position: Bottom-Right, Width: 116, Height: 51
Object: person, Confidence: 0.85, Color: White, Position: Bottom-Center, Width: 416, Height: 295
Object: person, Confidence: 0.34, Color: Black, Position: Bottom-Right, Width: 117, Height: 49
Object: person, Confidence: 0.84, Color: White, Position: Bottom-Center, Width: 398, Height: 296
Object: person, Confidence: 0.31, Color: Black, Position: Bottom-Right, Width: 116, Height: 48
Object: person, Confidence: 0.90, Color: White, Position: Bottom-Center, Width: 403, Height: 296
Real-Time Object Detection Summary

Object: person, Confidence: 0.31, Color: Black, Position: Bottom-Right, Width: 115, Height: 47
Object: person, Confidence: 0.33, Color: Black, Position: Bottom-Right, Width: 117, Height: 49
Object: person, Confidence: 0.86, Color: White, Position: Bottom-Center, Width: 398, Height: 289
Object: person, Confidence: 0.31, Color: Black, Position: Bottom-Right, Width: 117, Height: 50
Object: person, Confidence: 0.89, Color: White, Position: Bottom-Center, Width: 399, Height: 284
Object: person, Confidence: 0.27, Color: Black, Position: Bottom-Right, Width: 116, Height: 50
Object: person, Confidence: 0.85, Color: White, Position: Bottom-Center, Width: 394, Height: 290
Object: person, Confidence: 0.33, Color: Black, Position: Bottom-Right, Width: 116, Height: 51
Object: person, Confidence: 0.85, Color: White, Position: Bottom-Center, Width: 397, Height: 292
Object: person, Confidence: 0.30, Color: Black, Position: Bottom-Right, Width: 115, Height: 51
Object: person, Confidence: 0.87, Color: White, Position: Bottom-Center, Width: 398, Height: 292
Object: tie, Confidence: 0.27, Color: Other, Position: Bottom-Center, Width: 82, Height: 131
Object: person, Confidence: 0.30, Color: Black, Position: Bottom-Right, Width: 115, Height: 48
Object: person, Confidence: 0.86, Color: Green, Position: Bottom-Center, Width: 415, Height: 284
Object: person, Confidence: 0.32, Color: Black, Position: Bottom-Right, Width: 115, Height: 51
Object: person, Confidence: 0.86, Color: White, Position: Bottom-Center, Width: 407, Height: 285
Object: person, Confidence: 0.26, Color: Black, Position: Bottom-Right, Width: 115, Height: 51
Object: dog, Confidence: 0.29, Color: Green, Position: Bottom-Right, Width: 115, Height: 51
Object: person, Confidence: 0.88, Color: White, Position: Bottom-Center, Width: 405, Height: 283
Object: person, Confidence: 0.31, Color: Black, Position: Bottom-Right, Width: 117, Height: 50
Object: person, Confidence: 0.87, Color: White, Position: Bottom-Center, Width: 401, Height: 286
Object: person, Confidence: 0.37, Color: Black, Position: Bottom-Right, Width: 115, Height: 45
Object: person, Confidence: 0.83, Color: White, Position: Bottom-Center, Width: 417, Height: 302
Object: tie, Confidence: 0.30, Color: Other, Position: Bottom-Center, Width: 90, Height: 139
Object: person, Confidence: 0.34, Color: Black, Position: Bottom-Right, Width: 118, Height: 51
Object: person, Confidence: 0.90, Color: Green, Position: Bottom-Center, Width: 400, Height: 296
Object: person, Confidence: 0.32, Color: Black, Position: Bottom-Right, Width: 116, Height: 50
Object: person, Confidence: 0.83, Color: White, Position: Bottom-Center, Width: 409, Height: 304
Object: person, Confidence: 0.87, Color: Black, Position: Bottom-Center, Width: 344, Height: 294
Object: person, Confidence: 0.90, Color: Black, Position: Bottom-Center, Width: 349, Height: 301
Object: person, Confidence: 0.46, Color: Black, Position: Bottom-Center, Width: 594, Height: 314
Object: person, Confidence: 0.52, Color: White, Position: Bottom-Center, Width: 509, Height: 288
Object: dog, Confidence: 0.53, Color: Green, Position: Bottom-Right, Width: 114, Height: 57
Object: person, Confidence: 0.71, Color: White, Position: Bottom-Center, Width: 507, Height: 284
Object: dog, Confidence: 0.29, Color: Black, Position: Bottom-Right, Width: 114, Height: 58
Object: person, Confidence: 0.81, Color: Green, Position: Bottom-Center, Width: 508, Height: 291
Object: cell phone, Confidence: 0.32, Color: Black, Position: Top-Center, Width: 198, Height: 110
